Symbol,Name,Country,Sector,Industry,float shares
A,Agilent Technologies Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,292038960.0
AA,Alcoa Corporation Common Stock ,United States,Industrials,Aluminum,177027362.0
AAIC,Arlington Asset Investment Corp Class A (new),United States,Real Estate,Real Estate Investment Trusts,27060174.0
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,Real Estate,Real Estate Investment Trusts,
AAN,Aarons Holdings Company Inc. Common Stock ,United States,Consumer Discretionary,Diversified Commercial Services,30017948.0
AAP,Advance Auto Parts Inc.,United States,Consumer Discretionary,Auto & Home Supply Stores,59163852.0
AAT,American Assets Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,52153956.0
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers,108792963.0
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,1762275557.0
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,Other Pharmaceuticals,169432638.0
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,Consumer Staples,Beverages (Production/Distribution),4407340759.0
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores,16301511.0
ABM,ABM Industries Incorporated Common Stock,United States,Finance,Diversified Commercial Services,65436288.0
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts,180076982.0
ABT,Abbott Laboratories Common Stock,United States,Health Care,Medical/Dental Instruments,1722273381.0
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,1367483.0
ACA,Arcosa Inc. Common Stock ,United States,Industrials,Metal Fabrications,47997656.0
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Publishing,91150103.0
ACEL,Accel Entertainment Inc. ,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,43932894.0
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace,152907188.0
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains,330439976.0
ACM,AECOM Common Stock,United States,Consumer Discretionary,Military/Government/Technical,138047031.0
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Consumer Discretionary,Business Services,629912233.0
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,Finance,Investment Managers,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts,7762870.0
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts,52461806.0
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services,
ADC,Agree Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts,94404017.0
ADM,Archer-Daniels-Midland Company Common Stock,United States,Consumer Staples,Packaged Foods,532520484.0
ADNT,Adient plc Ordinary Shares ,United States,Consumer Discretionary,Auto Parts:O.E.M.,92562774.0
ADT,ADT Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services,134997908.0
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers,118998289.0
AEE,Ameren Corporation Common Stock,United States,Utilities,Power Generation,261362217.0
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance,1600079074.0
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance,76774612.0
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,180482487.0
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,Diversified Commercial Services,143656331.0
AES,The AES Corporation Common Stock,United States,Utilities,Electric Utilities: Central,666642490.0
AESC,The AES Corporation Corporate Units,United States,Utilities,Electric Utilities: Central,666642490.0
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable,
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers,62882267.0
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers,
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance,588787203.0
AGCO,AGCO Corporation Common Stock,United States,Industrials,Industrial Machinery/Components,62166661.0
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable,
AGI,Alamos Gold Inc. Class A Common Shares,Canada,Basic Materials,Precious Metals,394564255.0
AGL,agilon health inc. Common Stock,United States,Health Care,Managed Health Care,301090756.0
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies,10177694.0
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers,55506624.0
AGR,Avangrid Inc. Common Stock,United States,Utilities,Electric Utilities: Central,70852564.0
AGRO,Adecoagro S.A. Common Shares,Luxembourg,Consumer Staples,Farming/Seeds/Milling,59430726.0
AGS,PlayAGS Inc. Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries,33951261.0
AGTI,Agiliti Inc. Common Stock,United States,Health Care,Managed Health Care,35198974.0
AGX,Argan Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction,12613650.0
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Finance,Real Estate,66650369.0
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Real Estate,Real Estate Investment Trusts,31967396.0
AI,C3.ai Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,97024925.0
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,Real Estate,Real Estate Investment Trusts,
AIG,American International Group Inc. New Common Stock,United States,Finance,Life Insurance,710126994.0
AIN,Albany International Corporation Common Stock,United States,Consumer Discretionary,Textiles,30946968.0
AIR,AAR Corp. Common Stock,United States,Industrials,Aerospace,32529693.0
AIRC,Apartment Income REIT Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts,148514715.0
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Consumer Discretionary,Industrial Specialties,38010433.0
AIV,Apartment Investment and Management Company Common Stock,United States,Real Estate,Real Estate Investment Trusts,128036855.0
AIZ,Assurant Inc. Common Stock,United States,Finance,Specialty Insurers,52461177.0
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Property-Casualty Insurers,
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers,212993200.0
AJX,Great Ajax Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts,22858696.0
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Real Estate,Real Estate Investment Trusts,
AKR,Acadia Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts,94482863.0
AL,Air Lease Corporation Class A Common Stock,United States,Consumer Discretionary,Diversified Commercial Services,103464076.0
ALB,Albemarle Corporation Common Stock,United States,Industrials,Major Chemicals,117012337.0
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods,492636486.0
ALE,Allete Inc.,United States,Utilities,Power Generation,57239739.0
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Real Estate,Real Estate Investment Trusts,71567580.0
ALG,Alamo Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components,11713031.0
ALIT,Alight Inc. Class A Common Stock,United States,Technology,EDP Services,298949524.0
ALK,Alaska Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services,126682461.0
ALL,Allstate Corporation (The) Common Stock,United States,Finance,Property-Casualty Insurers,259965075.0
ALLE,Allegion plc Ordinary Shares,United States,Consumer Discretionary,Diversified Commercial Services,87199790.0
ALLG,Allego N.V. Ordinary Share,Netherlands,Consumer Discretionary,Other Specialty Stores,9211381.0
ALLY,Ally Financial Inc. Common Stock,United States,Finance,Major Banks,270808411.0
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.,88608147.0
ALTG,Alta Equipment Group Inc. Class A Common Stock,United States,Industrials,Industrial Machinery/Components,21027297.0
ALV,Autoliv Inc. Common Stock,Sweden,Consumer Discretionary,Auto Parts:O.E.M.,75835067.0
ALX,Alexander's Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,2122028.0
AM,Antero Midstream Corporation Common Stock,United States,Utilities,Natural Gas Distribution,334119901.0
AMBC,Ambac Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers,44094381.0
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Movies/Entertainment,942276499.0
AME,AMETEK Inc.,United States,Industrials,Industrial Machinery/Components,229406286.0
